SL.no		a		   b	    	   m		   f(m)		error
1		-1.000000	1.000000	0.000000	1.000000	3.718282
2		0.000000	1.000000	0.500000	0.106531	0.106531
3		0.500000	1.000000	0.750000	-0.277633	-0.029576
4		0.500000	0.750000	0.625000	-0.089739	-0.009560
5		0.500000	0.625000	0.562500	0.007283	0.000776
6		0.562500	0.625000	0.593750	-0.041498	-0.000302
7		0.562500	0.593750	0.578125	-0.017176	-0.000125
8		0.562500	0.578125	0.570313	-0.004964	-0.000036
9		0.562500	0.570313	0.566406	0.001155	0.000008
10		0.566406	0.570313	0.568359	-0.001905	-0.000002
11		0.566406	0.568359	0.567383	-0.000375	-0.000000
12		0.566406	0.567383	0.566895	0.000390	0.000000
13		0.566895	0.567383	0.567139	0.000007	0.000000
14		0.567139	0.567383	0.567261	-0.000184	-0.000000
15		0.567139	0.567261	0.567200	-0.000088	-0.000000
16		0.567139	0.567200	0.567169	-0.000041	-0.000000
17		0.567139	0.567169	0.567154	-0.000017	-0.000000
18		0.567139	0.567154	0.567146	-0.000005	-0.000000


root of the function = 0.567146
