SL	    x		   g(x)		  dg(x)		   f(x)		   error	 order
1	 0.000000	 1.000000	-1.000000	 1.000000	 1.000000	 NA
2	 1.000000	 0.367879	-0.367879	-0.632121	 0.632121	-1.#INF00
3	 0.367879	 0.692201	-0.692201	 0.324321	 0.324321	 2.454942
4	 0.692201	 0.500474	-0.500474	-0.191727	 0.191727	 1.466831
5	 0.500474	 0.606244	-0.606244	 0.105770	 0.105770	 1.360121
6	 0.606244	 0.545396	-0.545396	-0.060848	 0.060848	 1.246114
7	 0.545396	 0.579612	-0.579612	 0.034217	 0.034217	 1.205640
8	 0.579612	 0.560115	-0.560115	-0.019497	 0.019497	 1.166651
9	 0.560115	 0.571143	-0.571143	 0.011028	 0.011028	 1.144723
10	 0.571143	 0.564879	-0.564879	-0.006264	 0.006264	 1.125489
11	 0.564879	 0.568429	-0.568429	 0.003549	 0.003549	 1.111968
12	 0.568429	 0.566415	-0.566415	-0.002014	 0.002014	 1.100453
13	 0.566415	 0.567557	-0.567557	 0.001142	 0.001142	 1.091407
14	 0.567557	 0.566909	-0.566909	-0.000648	 0.000648	 1.083687
15	 0.566909	 0.567276	-0.567276	 0.000367	 0.000367	 1.077258
16	 0.567276	 0.567068	-0.567068	-0.000208	 0.000208	 1.071700
17	 0.567068	 0.567186	-0.567186	 0.000118	 0.000118	 1.066912
18	 0.567186	 0.567119	-0.567119	-0.000067	 0.000067	 1.062711
19	 0.567119	 0.567157	-0.567157	 0.000038	 0.000038	 1.059013


The root of the equation is 0.567157
